,pl_name,hostname,pl_rade,st_mass,sy_pnum
404,Kepler-299 simulated 0,Kepler-299 simulated 100,1.1126034307034127,0.95,5
405,Kepler-174 simulated 101,Kepler-174 simulated 101,1.96,0.6,5
406,Kepler-174 simulated 101,Kepler-174 simulated 101,1.49,0.6,5
407,Kepler-174 simulated 101,Kepler-174 simulated 101,2.19,0.6,5
408,Kepler-174 simulated 0,Kepler-174 simulated 101,1.8474283117039207,0.6,5
409,Kepler-174 simulated 1,Kepler-174 simulated 101,1.099446416773598,0.6,5
410,Kepler-347 simulated 102,Kepler-347 simulated 102,1.97,1.05,5
411,Kepler-347 simulated 102,Kepler-347 simulated 102,1.75,1.05,5
412,Kepler-347 simulated 102,Kepler-347 simulated 102,3.04,1.05,5
413,Kepler-347 simulated 0,Kepler-347 simulated 102,4.0,1.05,5
414,Kepler-347 simulated 1,Kepler-347 simulated 102,4.0,1.05,5
415,Kepler-10 simulated 103,Kepler-10 simulated 103,1.47,0.91,5
416,Kepler-10 simulated 103,Kepler-10 simulated 103,2.355,0.91,5
417,Kepler-10 simulated 103,Kepler-10 simulated 103,3.61,0.91,5
418,Kepler-10 simulated 0,Kepler-10 simulated 103,2.519144007070571,0.91,5
419,Kepler-10 simulated 1,Kepler-10 simulated 103,1.7196528784599832,0.91,5
420,Kepler-271 simulated 104,Kepler-271 simulated 104,1.23,0.9,5
421,Kepler-271 simulated 104,Kepler-271 simulated 104,0.95,0.9,5
422,Kepler-271 simulated 104,Kepler-271 simulated 104,0.66,0.9,5
423,Kepler-271 simulated 0,Kepler-271 simulated 104,0.5,0.9,5
424,Kepler-271 simulated 1,Kepler-271 simulated 104,0.782379571755147,0.9,5
425,Kepler-218 simulated 105,Kepler-218 simulated 105,1.48,1.02,5
426,Kepler-218 simulated 105,Kepler-218 simulated 105,3.14,1.02,5
427,Kepler-218 simulated 105,Kepler-218 simulated 105,2.66,1.02,5
428,Kepler-218 simulated 0,Kepler-218 simulated 105,1.6360754004580835,1.02,5
429,Kepler-218 simulated 1,Kepler-218 simulated 105,1.121129426925086,1.02,5
430,Wolf 1061 simulated 106,Wolf 1061 simulated 106,1.21,0.29,5
431,Wolf 1061 simulated 106,Wolf 1061 simulated 106,1.66,0.29,5
432,Wolf 1061 simulated 106,Wolf 1061 simulated 106,2.69,0.29,5
433,Wolf 1061 simulated 0,Wolf 1061 simulated 106,1.7456801668022528,0.29,5
434,Wolf 1061 simulated 1,Wolf 1061 simulated 106,1.9191843339625734,0.29,5
435,Kepler-206 simulated 107,Kepler-206 simulated 107,1.2,1.05,5
436,Kepler-206 simulated 107,Kepler-206 simulated 107,1.77,1.05,5
437,Kepler-206 simulated 107,Kepler-206 simulated 107,1.19,1.05,5
438,Kepler-206 simulated 0,Kepler-206 simulated 107,0.9611954305942144,1.05,5
439,Kepler-206 simulated 1,Kepler-206 simulated 107,0.8748343935464045,1.05,5
440,GJ 3138 simulated 108,GJ 3138 simulated 108,1.18,0.68,5
441,GJ 3138 simulated 108,GJ 3138 simulated 108,1.88,0.68,5
442,GJ 3138 simulated 108,GJ 3138 simulated 108,3.23,0.68,5
443,GJ 3138 simulated 0,GJ 3138 simulated 108,3.8257376002123853,0.68,5
444,GJ 3138 simulated 1,GJ 3138 simulated 108,4.0,0.68,5
445,Kepler-374 simulated 109,Kepler-374 simulated 109,1.03,1.04,5
446,Kepler-374 simulated 109,Kepler-374 simulated 109,1.1,1.04,5
447,Kepler-374 simulated 109,Kepler-374 simulated 109,1.31,1.04,5
448,Kepler-374 simulated 0,Kepler-374 simulated 109,1.0329673706329319,1.04,5
449,Kepler-374 simulated 1,Kepler-374 simulated 109,1.498327310754817,1.04,5
450,Kepler-167 simulated 110,Kepler-167 simulated 110,1.718,0.78,5
451,Kepler-167 simulated 110,Kepler-167 simulated 110,1.674,0.78,5
452,Kepler-167 simulated 110,Kepler-167 simulated 110,1.238,0.78,5
453,Kepler-167 simulated 0,Kepler-167 simulated 110,1.9901355238652716,0.78,5
454,Kepler-167 simulated 1,Kepler-167 simulated 110,2.8770612043104355,0.78,5
455,TOI-712 simulated 111,TOI-712 simulated 111,2.049,0.73,5
456,TOI-712 simulated 111,TOI-712 simulated 111,2.701,0.73,5
457,TOI-712 simulated 111,TOI-712 simulated 111,2.474,0.73,5
458,TOI-712 simulated 0,TOI-712 simulated 111,4.0,0.73,5
459,TOI-712 simulated 1,TOI-712 simulated 111,3.5883452520116546,0.73,5
460,Kepler-166 simulated 112,Kepler-166 simulated 112,2.27,0.88,5
461,Kepler-166 simulated 112,Kepler-166 simulated 112,2.38,0.88,5
462,Kepler-166 simulated 112,Kepler-166 simulated 112,1.73,0.88,5
463,Kepler-166 simulated 0,Kepler-166 simulated 112,1.519532284123134,0.88,5
464,Kepler-166 simulated 1,Kepler-166 simulated 112,2.451105274212038,0.88,5
465,Kepler-444 simulated 113,Kepler-444 simulated 113,0.53,0.76,5
466,Kepler-444 simulated 113,Kepler-444 simulated 113,0.546,0.76,5
467,Kepler-444 simulated 113,Kepler-444 simulated 113,0.741,0.76,5
468,Kepler-444 simulated 0,Kepler-444 simulated 113,0.7124553897151874,0.76,5
469,Kepler-444 simulated 1,Kepler-444 simulated 113,0.5,0.76,5
470,Kepler-221 simulated 114,Kepler-221 simulated 114,1.71,0.82,5
471,Kepler-221 simulated 114,Kepler-221 simulated 114,2.93,0.82,5
472,Kepler-221 simulated 114,Kepler-221 simulated 114,2.73,0.82,5
473,Kepler-221 simulated 114,Kepler-221 simulated 114,2.63,0.82,5
474,Kepler-221 simulated 0,Kepler-221 simulated 114,2.9426212151965756,0.82,5
475,Kepler-385 simulated 115,Kepler-385 simulated 115,2.73,1.12,5
476,Kepler-385 simulated 115,Kepler-385 simulated 115,3.04,1.12,5
477,Kepler-385 simulated 115,Kepler-385 simulated 115,2.619,1.12,5
478,Kepler-385 simulated 0,Kepler-385 simulated 115,4.0,1.12,5
479,Kepler-385 simulated 1,Kepler-385 simulated 115,4.0,1.12,5
480,Kepler-299 simulated 116,Kepler-299 simulated 116,1.32,0.95,5
481,Kepler-299 simulated 116,Kepler-299 simulated 116,2.65,0.95,5
482,Kepler-299 simulated 116,Kepler-299 simulated 116,1.86,0.95,5
483,Kepler-299 simulated 116,Kepler-299 simulated 116,1.87,0.95,5
484,Kepler-299 simulated 0,Kepler-299 simulated 116,1.752689452971418,0.95,5
485,Kepler-301 simulated 117,Kepler-301 simulated 117,1.35,0.98,5
486,Kepler-301 simulated 117,Kepler-301 simulated 117,1.35,0.98,5
487,Kepler-301 simulated 117,Kepler-301 simulated 117,1.75,0.98,5
488,Kepler-301 simulated 0,Kepler-301 simulated 117,1.9320358682079797,0.98,5
489,Kepler-301 simulated 1,Kepler-301 simulated 117,1.738183465549768,0.98,5
490,HD 215152 simulated 118,HD 215152 simulated 118,1.19,0.77,5
491,HD 215152 simulated 118,HD 215152 simulated 118,1.17,0.77,5
492,HD 215152 simulated 118,HD 215152 simulated 118,1.48,0.77,5
493,HD 215152 simulated 118,HD 215152 simulated 118,1.51,0.77,5
494,HD 215152 simulated 0,HD 215152 simulated 118,2.189006821482251,0.77,5
495,Kepler-23 simulated 119,Kepler-23 simulated 119,1.638,1.08,5
496,Kepler-23 simulated 119,Kepler-23 simulated 119,3.005,1.08,5
497,Kepler-23 simulated 119,Kepler-23 simulated 119,2.206,1.08,5
498,Kepler-23 simulated 0,Kepler-23 simulated 119,2.9423474855677556,1.08,5
499,Kepler-23 simulated 1,Kepler-23 simulated 119,4.0,1.08,5
500,TOI-561 simulated 120,TOI-561 simulated 120,1.425,0.81,5
501,TOI-561 simulated 120,TOI-561 simulated 120,2.91,0.81,5
502,TOI-561 simulated 120,TOI-561 simulated 120,2.82,0.81,5
503,TOI-561 simulated 120,TOI-561 simulated 120,2.55,0.81,5
504,TOI-561 simulated 0,TOI-561 simulated 120,2.545773564381057,0.81,5
505,TOI-500 simulated 121,TOI-500 simulated 121,1.166,0.74,5
506,TOI-500 simulated 121,TOI-500 simulated 121,2.09,0.74,5
507,TOI-500 simulated 121,TOI-500 simulated 121,3.99,0.74,5
508,TOI-500 simulated 0,TOI-500 simulated 121,2.8873356244689385,0.74,5
509,TOI-500 simulated 1,TOI-500 simulated 121,4.0,0.74,5
510,K2-233 simulated 122,K2-233 simulated 122,1.343,0.79,5
511,K2-233 simulated 122,K2-233 simulated 122,1.281,0.79,5
512,K2-233 simulated 122,K2-233 simulated 122,2.358,0.79,5
513,K2-233 simulated 0,K2-233 simulated 122,1.368578202599532,0.79,5
514,K2-233 simulated 1,K2-233 simulated 122,1.7291772214765668,0.79,5
515,K2-266 simulated 123,K2-266 simulated 123,3.3,0.69,5
516,K2-266 simulated 123,K2-266 simulated 123,0.705,0.69,5
517,K2-266 simulated 123,K2-266 simulated 123,2.93,0.69,5
518,K2-266 simulated 123,K2-266 simulated 123,2.73,0.69,5
519,K2-266 simulated 0,K2-266 simulated 123,4.0,0.69,5
520,Kepler-319 simulated 124,Kepler-319 simulated 124,1.63,0.96,5
521,Kepler-319 simulated 124,Kepler-319 simulated 124,2.63,0.96,5
522,Kepler-319 simulated 124,Kepler-319 simulated 124,2.29,0.96,5
523,Kepler-319 simulated 0,Kepler-319 simulated 124,1.2754056712676103,0.96,5
524,Kepler-319 simulated 1,Kepler-319 simulated 124,1.406475323691736,0.96,5
525,Kepler-197 simulated 125,Kepler-197 simulated 125,1.02,0.86,5
526,Kepler-197 simulated 125,Kepler-197 simulated 125,1.23,0.86,5
527,Kepler-197 simulated 125,Kepler-197 simulated 125,1.22,0.86,5
528,Kepler-197 simulated 125,Kepler-197 simulated 125,0.91,0.86,5
529,Kepler-197 simulated 0,Kepler-197 simulated 125,0.8140917767095204,0.86,5
530,Kepler-198 simulated 126,Kepler-198 simulated 126,2.82,0.97,5
531,Kepler-198 simulated 126,Kepler-198 simulated 126,2.47,0.97,5
532,Kepler-198 simulated 126,Kepler-198 simulated 126,1.53,0.97,5
533,Kepler-198 simulated 0,Kepler-198 simulated 126,1.9166772162777939,0.97,5
534,Kepler-198 simulated 1,Kepler-198 simulated 126,1.7878732532604331,0.97,5
535,K2-183 simulated 127,K2-183 simulated 127,1.1,0.94,5
536,K2-183 simulated 127,K2-183 simulated 127,2.3,0.94,5
537,K2-183 simulated 127,K2-183 simulated 127,2.3,0.94,5
538,K2-183 simulated 0,K2-183 simulated 127,3.268388741160769,0.94,5
539,K2-183 simulated 1,K2-183 simulated 127,4.0,0.94,5
540,Kepler-381 simulated 128,Kepler-381 simulated 128,0.99,1.2,5
541,Kepler-381 simulated 128,Kepler-381 simulated 128,1.12,1.2,5
542,Kepler-381 simulated 128,Kepler-381 simulated 128,1.067,1.2,5
543,Kepler-381 simulated 0,Kepler-381 simulated 128,0.9626376407510588,1.2,5
544,Kepler-381 simulated 1,Kepler-381 simulated 128,0.9251395200327257,1.2,5
545,Kepler-208 simulated 129,Kepler-208 simulated 129,1.63,1.16,5
546,Kepler-208 simulated 129,Kepler-208 simulated 129,1.39,1.16,5
547,Kepler-208 simulated 129,Kepler-208 simulated 129,1.2,1.16,5
548,Kepler-208 simulated 129,Kepler-208 simulated 129,1.48,1.16,5
549,Kepler-208 simulated 0,Kepler-208 simulated 129,1.4872273627291106,1.16,5
550,Kepler-1530 simulated 130,Kepler-1530 simulated 130,1.64,0.92,5
551,Kepler-1530 simulated 130,Kepler-1530 simulated 130,1.65,0.92,5
552,Kepler-1530 simulated 130,Kepler-1530 simulated 130,3.279,0.92,5
553,Kepler-1530 simulated 0,Kepler-1530 simulated 130,4.0,0.92,5
554,Kepler-1530 simulated 1,Kepler-1530 simulated 130,3.062902828594037,0.92,5
555,Kepler-196 simulated 131,Kepler-196 simulated 131,1.9,0.85,5
556,Kepler-196 simulated 131,Kepler-196 simulated 131,2.24,0.85,5
557,Kepler-196 simulated 131,Kepler-196 simulated 131,2.661,0.85,5
558,Kepler-196 simulated 0,Kepler-196 simulated 131,2.393165093053756,0.85,5
559,Kepler-196 simulated 1,Kepler-196 simulated 131,4.0,0.85,5
560,Kepler-207 simulated 132,Kepler-207 simulated 132,1.57,1.04,5
561,Kepler-207 simulated 132,Kepler-207 simulated 132,1.5,1.04,5
562,Kepler-207 simulated 132,Kepler-207 simulated 132,3.31,1.04,5
563,Kepler-207 simulated 0,Kepler-207 simulated 132,1.625445236702107,1.04,5
564,Kepler-207 simulated 1,Kepler-207 simulated 132,3.577501738416548,1.04,5
565,HD 134606 simulated 133,HD 134606 simulated 133,2.97,1.05,5
566,HD 134606 simulated 133,HD 134606 simulated 133,3.37,1.05,5
567,HD 134606 simulated 133,HD 134606 simulated 133,1.33,1.05,5
568,HD 134606 simulated 133,HD 134606 simulated 133,2.24,1.05,5
569,HD 134606 simulated 0,HD 134606 simulated 133,4.0,1.05,5
570,Kepler-176 simulated 134,Kepler-176 simulated 134,1.43,0.79,5
571,Kepler-176 simulated 134,Kepler-176 simulated 134,2.6,0.79,5
572,Kepler-176 simulated 134,Kepler-176 simulated 134,2.51,0.79,5
573,Kepler-176 simulated 134,Kepler-176 simulated 134,1.45,0.79,5
574,Kepler-176 simulated 0,Kepler-176 simulated 134,1.3863391283532842,0.79,5
575,Kepler-10 simulated 135,Kepler-10 simulated 135,1.47,0.91,5
576,Kepler-10 simulated 135,Kepler-10 simulated 135,2.355,0.91,5
577,Kepler-10 simulated 135,Kepler-10 simulated 135,3.61,0.91,5
578,Kepler-10 simulated 0,Kepler-10 simulated 135,2.4131967044962077,0.91,5
579,Kepler-10 simulated 1,Kepler-10 simulated 135,3.6736739207899523,0.91,5
580,Kepler-304 simulated 136,Kepler-304 simulated 136,2.86,0.8,5
581,Kepler-304 simulated 136,Kepler-304 simulated 136,2.17,0.8,5
582,Kepler-304 simulated 136,Kepler-304 simulated 136,2.75,0.8,5
583,Kepler-304 simulated 136,Kepler-304 simulated 136,1.2,0.8,5
584,Kepler-304 simulated 0,Kepler-304 simulated 136,0.8517226358698214,0.8,5
585,Kepler-60 simulated 137,Kepler-60 simulated 137,1.71,1.04,5
586,Kepler-60 simulated 137,Kepler-60 simulated 137,1.9,1.04,5
587,Kepler-60 simulated 137,Kepler-60 simulated 137,1.99,1.04,5
588,Kepler-60 simulated 0,Kepler-60 simulated 137,1.944898409323057,1.04,5
589,Kepler-60 simulated 1,Kepler-60 simulated 137,2.1581913138861886,1.04,5
590,K2-155 simulated 138,K2-155 simulated 138,1.8,0.65,5
591,K2-155 simulated 138,K2-155 simulated 138,2.6,0.65,5
592,K2-155 simulated 138,K2-155 simulated 138,1.9,0.65,5
593,K2-155 simulated 0,K2-155 simulated 138,2.6615363422982097,0.65,5
594,K2-155 simulated 1,K2-155 simulated 138,2.684829295849958,0.65,5
595,Kepler-347 simulated 139,Kepler-347 simulated 139,1.97,1.05,5
596,Kepler-347 simulated 139,Kepler-347 simulated 139,1.75,1.05,5
597,Kepler-347 simulated 139,Kepler-347 simulated 139,3.04,1.05,5
598,Kepler-347 simulated 0,Kepler-347 simulated 139,2.7814637200067165,1.05,5
599,Kepler-347 simulated 1,Kepler-347 simulated 139,4.0,1.05,5
600,Kepler-52 simulated 140,Kepler-52 simulated 140,2.1,0.54,5
601,Kepler-52 simulated 140,Kepler-52 simulated 140,1.84,0.54,5
602,Kepler-52 simulated 140,Kepler-52 simulated 140,1.95,0.54,5
603,Kepler-52 simulated 0,Kepler-52 simulated 140,2.0849265901121266,0.54,5
604,Kepler-52 simulated 1,Kepler-52 simulated 140,2.826634126029407,0.54,5
605,Kepler-207 simulated 141,Kepler-207 simulated 141,1.57,1.04,5
606,Kepler-207 simulated 141,Kepler-207 simulated 141,1.5,1.04,5
607,Kepler-207 simulated 141,Kepler-207 simulated 141,3.31,1.04,5
608,Kepler-207 simulated 0,Kepler-207 simulated 141,2.5976903363278683,1.04,5
609,Kepler-207 simulated 1,Kepler-207 simulated 141,3.9683887737817733,1.04,5
610,Kepler-298 simulated 142,Kepler-298 simulated 142,1.96,0.66,5
611,Kepler-298 simulated 142,Kepler-298 simulated 142,1.93,0.66,5
612,Kepler-298 simulated 142,Kepler-298 simulated 142,2.5,0.66,5
613,Kepler-298 simulated 0,Kepler-298 simulated 142,2.715293408759672,0.66,5
614,Kepler-298 simulated 1,Kepler-298 simulated 142,1.670674080184363,0.66,5
615,Kepler-968 simulated 143,Kepler-968 simulated 143,2.58,0.76,5
616,Kepler-968 simulated 143,Kepler-968 simulated 143,2.0,0.76,5
617,Kepler-968 simulated 143,Kepler-968 simulated 143,1.69,0.76,5
618,Kepler-968 simulated 0,Kepler-968 simulated 143,1.1606088668716181,0.76,5
619,Kepler-968 simulated 1,Kepler-968 simulated 143,1.3001748699447766,0.76,5
620,LP 791-18 simulated 144,LP 791-18 simulated 144,1.212,0.14,5
621,LP 791-18 simulated 144,LP 791-18 simulated 144,2.438,0.14,5
622,LP 791-18 simulated 144,LP 791-18 simulated 144,1.032,0.14,5
623,LP 791-18 simulated 0,LP 791-18 simulated 144,1.1154680842194613,0.14,5
624,LP 791-18 simulated 1,LP 791-18 simulated 144,1.9786154116079135,0.14,5
625,K2-352 simulated 145,K2-352 simulated 145,1.37,0.98,5
626,K2-352 simulated 145,K2-352 simulated 145,1.92,0.98,5
627,K2-352 simulated 145,K2-352 simulated 145,2.23,0.98,5
628,K2-352 simulated 0,K2-352 simulated 145,2.7757632051442354,0.98,5
629,K2-352 simulated 1,K2-352 simulated 145,3.7359499996401615,0.98,5
630,GJ 367 simulated 146,GJ 367 simulated 146,0.699,0.46,5
631,GJ 367 simulated 146,GJ 367 simulated 146,1.86,0.46,5
632,GJ 367 simulated 146,GJ 367 simulated 146,2.33,0.46,5
633,GJ 367 simulated 0,GJ 367 simulated 146,1.679024270424771,0.46,5
634,GJ 367 simulated 1,GJ 367 simulated 146,2.2354548968073935,0.46,5
635,Kepler-184 simulated 147,Kepler-184 simulated 147,2.36,0.97,5
636,Kepler-184 simulated 147,Kepler-184 simulated 147,1.97,0.97,5
637,Kepler-184 simulated 147,Kepler-184 simulated 147,2.49,0.97,5
638,Kepler-184 simulated 0,Kepler-184 simulated 147,1.7589932411629985,0.97,5
639,Kepler-184 simulated 1,Kepler-184 simulated 147,1.244593145053384,0.97,5
640,Kepler-106 simulated 148,Kepler-106 simulated 148,0.82,1.0,5
641,Kepler-106 simulated 148,Kepler-106 simulated 148,2.5,1.0,5
642,Kepler-106 simulated 148,Kepler-106 simulated 148,0.95,1.0,5
643,Kepler-106 simulated 148,Kepler-106 simulated 148,2.56,1.0,5
644,Kepler-106 simulated 0,Kepler-106 simulated 148,2.6780262512387973,1.0,5
645,TOI-125 simulated 149,TOI-125 simulated 149,2.726,0.86,5
646,TOI-125 simulated 149,TOI-125 simulated 149,2.759,0.86,5
647,TOI-125 simulated 149,TOI-125 simulated 149,2.93,0.86,5
648,TOI-125 simulated 0,TOI-125 simulated 149,1.4640747273488364,0.86,5
649,TOI-125 simulated 1,TOI-125 simulated 149,1.2402844536418327,0.86,5
650,Kepler-341 simulated 150,Kepler-341 simulated 150,1.18,1.0,5
651,Kepler-341 simulated 150,Kepler-341 simulated 150,1.7,1.0,5
652,Kepler-341 simulated 150,Kepler-341 simulated 150,1.85,1.0,5
653,Kepler-341 simulated 150,Kepler-341 simulated 150,1.99,1.0,5
654,Kepler-341 simulated 0,Kepler-341 simulated 150,2.222412810701946,1.0,5
655,Kepler-770 simulated 151,Kepler-770 simulated 151,2.3,0.94,5
656,Kepler-770 simulated 151,Kepler-770 simulated 151,1.2,0.94,5
657,Kepler-770 simulated 151,Kepler-770 simulated 151,1.4,0.94,5
658,Kepler-770 simulated 0,Kepler-770 simulated 151,1.5902428925596026,0.94,5
659,Kepler-770 simulated 1,Kepler-770 simulated 151,2.0088565225589763,0.94,5
660,Kepler-394 simulated 152,Kepler-394 simulated 152,1.6,1.13,5
661,Kepler-394 simulated 152,Kepler-394 simulated 152,1.66,1.13,5
662,Kepler-394 simulated 152,Kepler-394 simulated 152,1.501,1.13,5
663,Kepler-394 simulated 0,Kepler-394 simulated 152,1.4082700505072792,1.13,5
664,Kepler-394 simulated 1,Kepler-394 simulated 152,0.8521046213686287,1.13,5
665,Kepler-265 simulated 153,Kepler-265 simulated 153,1.86,0.98,5
666,Kepler-265 simulated 153,Kepler-265 simulated 153,2.63,0.98,5
667,Kepler-265 simulated 153,Kepler-265 simulated 153,2.49,0.98,5
668,Kepler-265 simulated 153,Kepler-265 simulated 153,2.59,0.98,5
669,Kepler-265 simulated 0,Kepler-265 simulated 153,2.216448239995315,0.98,5
670,Kepler-122 simulated 154,Kepler-122 simulated 154,2.34,1.08,5
671,Kepler-122 simulated 154,Kepler-122 simulated 154,2.2,1.08,5
672,Kepler-122 simulated 154,Kepler-122 simulated 154,2.6,1.08,5
673,Kepler-122 simulated 154,Kepler-122 simulated 154,1.75,1.08,5
674,Kepler-122 simulated 0,Kepler-122 simulated 154,1.548638064795685,1.08,5
675,Kepler-220 simulated 155,Kepler-220 simulated 155,0.81,0.73,5
676,Kepler-220 simulated 155,Kepler-220 simulated 155,1.57,0.73,5
677,Kepler-220 simulated 155,Kepler-220 simulated 155,0.98,0.73,5
678,Kepler-220 simulated 155,Kepler-220 simulated 155,1.33,0.73,5
679,Kepler-220 simulated 0,Kepler-220 simulated 155,0.883784388215457,0.73,5
680,Kepler-172 simulated 156,Kepler-172 simulated 156,2.35,1.0,5
681,Kepler-172 simulated 156,Kepler-172 simulated 156,2.86,1.0,5
682,Kepler-172 simulated 156,Kepler-172 simulated 156,2.25,1.0,5
683,Kepler-172 simulated 156,Kepler-172 simulated 156,2.76,1.0,5
684,Kepler-172 simulated 0,Kepler-172 simulated 156,3.5744237273760397,1.0,5
685,Kepler-298 simulated 157,Kepler-298 simulated 157,1.96,0.66,5
686,Kepler-298 simulated 157,Kepler-298 simulated 157,1.93,0.66,5
687,Kepler-298 simulated 157,Kepler-298 simulated 157,2.5,0.66,5
688,Kepler-298 simulated 0,Kepler-298 simulated 157,3.357954752380591,0.66,5
689,Kepler-298 simulated 1,Kepler-298 simulated 157,4.0,0.66,5
690,Kepler-24 simulated 158,Kepler-24 simulated 158,2.348,1.02,5
691,Kepler-24 simulated 158,Kepler-24 simulated 158,2.514,1.02,5
692,Kepler-24 simulated 158,Kepler-24 simulated 158,1.67,1.02,5
693,Kepler-24 simulated 158,Kepler-24 simulated 158,2.78,1.02,5
694,Kepler-24 simulated 0,Kepler-24 simulated 158,3.2076572347217867,1.02,5
695,Kepler-217 simulated 159,Kepler-217 simulated 159,2.23,1.14,5
696,Kepler-217 simulated 159,Kepler-217 simulated 159,1.85,1.14,5
697,Kepler-217 simulated 159,Kepler-217 simulated 159,1.32,1.14,5
698,Kepler-217 simulated 0,Kepler-217 simulated 159,1.0701855940555784,1.14,5
699,Kepler-217 simulated 1,Kepler-217 simulated 159,1.751271633361945,1.14,5
700,K2-233 simulated 160,K2-233 simulated 160,1.343,0.79,5
701,K2-233 simulated 160,K2-233 simulated 160,1.281,0.79,5
702,K2-233 simulated 160,K2-233 simulated 160,2.358,0.79,5
703,K2-233 simulated 0,K2-233 simulated 160,4.0,0.79,5
704,K2-233 simulated 1,K2-233 simulated 160,4.0,0.79,5
705,Kepler-60 simulated 161,Kepler-60 simulated 161,1.71,1.04,5
706,Kepler-60 simulated 161,Kepler-60 simulated 161,1.9,1.04,5
707,Kepler-60 simulated 161,Kepler-60 simulated 161,1.99,1.04,5
708,Kepler-60 simulated 0,Kepler-60 simulated 161,1.9705574717918346,1.04,5
709,Kepler-60 simulated 1,Kepler-60 simulated 161,1.7053886387000687,1.04,5
710,Kepler-217 simulated 162,Kepler-217 simulated 162,2.23,1.14,5
711,Kepler-217 simulated 162,Kepler-217 simulated 162,1.85,1.14,5
712,Kepler-217 simulated 162,Kepler-217 simulated 162,1.32,1.14,5
713,Kepler-217 simulated 0,Kepler-217 simulated 162,1.4119374331290198,1.14,5
714,Kepler-217 simulated 1,Kepler-217 simulated 162,1.5028339799987287,1.14,5
715,TOI-663 simulated 163,TOI-663 simulated 163,2.27,0.51,5
716,TOI-663 simulated 163,TOI-663 simulated 163,2.26,0.51,5
717,TOI-663 simulated 163,TOI-663 simulated 163,1.92,0.51,5
718,TOI-663 simulated 0,TOI-663 simulated 163,3.206311925391233,0.51,5
719,TOI-663 simulated 1,TOI-663 simulated 163,2.225451602585758,0.51,5
720,Kepler-350 simulated 164,Kepler-350 simulated 164,1.85,1.0,5
721,Kepler-350 simulated 164,Kepler-350 simulated 164,3.1,1.0,5
722,Kepler-350 simulated 164,Kepler-350 simulated 164,2.8,1.0,5
723,Kepler-350 simulated 0,Kepler-350 simulated 164,4.0,1.0,5
724,Kepler-350 simulated 1,Kepler-350 simulated 164,4.0,1.0,5
725,Kepler-142 simulated 165,Kepler-142 simulated 165,1.99,0.99,5
726,Kepler-142 simulated 165,Kepler-142 simulated 165,2.86,0.99,5
727,Kepler-142 simulated 165,Kepler-142 simulated 165,2.16,0.99,5
728,Kepler-142 simulated 0,Kepler-142 simulated 165,2.0103623818153205,0.99,5
729,Kepler-142 simulated 1,Kepler-142 simulated 165,1.6735695946868474,0.99,5
730,HD 20781 simulated 166,HD 20781 simulated 166,1.21,0.7,5
731,HD 20781 simulated 166,HD 20781 simulated 166,2.17,0.7,5
732,HD 20781 simulated 166,HD 20781 simulated 166,3.25,0.7,5
733,HD 20781 simulated 166,HD 20781 simulated 166,3.83,0.7,5
734,HD 20781 simulated 0,HD 20781 simulated 166,3.672777421423091,0.7,5
735,Kepler-54 simulated 167,Kepler-54 simulated 167,2.1,0.51,5
736,Kepler-54 simulated 167,Kepler-54 simulated 167,1.23,0.51,5
737,Kepler-54 simulated 167,Kepler-54 simulated 167,1.53,0.51,5
738,Kepler-54 simulated 0,Kepler-54 simulated 167,1.1015598367017756,0.51,5
739,Kepler-54 simulated 1,Kepler-54 simulated 167,1.3064023191010576,0.51,5
740,K2-58 simulated 168,K2-58 simulated 168,2.68,0.89,5
741,K2-58 simulated 168,K2-58 simulated 168,1.62,0.89,5
742,K2-58 simulated 168,K2-58 simulated 168,1.71,0.89,5
743,K2-58 simulated 0,K2-58 simulated 168,1.1404597399826155,0.89,5
744,K2-58 simulated 1,K2-58 simulated 168,0.8430143591096835,0.89,5
745,Kepler-298 simulated 169,Kepler-298 simulated 169,1.96,0.66,5
746,Kepler-298 simulated 169,Kepler-298 simulated 169,1.93,0.66,5
747,Kepler-298 simulated 169,Kepler-298 simulated 169,2.5,0.66,5
748,Kepler-298 simulated 0,Kepler-298 simulated 169,1.4661176334210182,0.66,5
749,Kepler-298 simulated 1,Kepler-298 simulated 169,1.0725337642002042,0.66,5
750,Kepler-85 simulated 170,Kepler-85 simulated 170,1.778,0.925,5
751,Kepler-85 simulated 170,Kepler-85 simulated 170,1.978,0.925,5
752,Kepler-85 simulated 170,Kepler-85 simulated 170,1.2,0.925,5
753,Kepler-85 simulated 170,Kepler-85 simulated 170,1.27,0.925,5
754,Kepler-85 simulated 0,Kepler-85 simulated 170,1.6666432756128202,0.925,5
755,TOI-270 simulated 171,TOI-270 simulated 171,1.206,0.39,5
756,TOI-270 simulated 171,TOI-270 simulated 171,2.355,0.39,5
757,TOI-270 simulated 171,TOI-270 simulated 171,2.133,0.39,5
758,TOI-270 simulated 0,TOI-270 simulated 171,1.1343860058557478,0.39,5
759,TOI-270 simulated 1,TOI-270 simulated 171,0.6970478666565271,0.39,5
760,Kepler-197 simulated 172,Kepler-197 simulated 172,1.02,0.86,5
761,Kepler-197 simulated 172,Kepler-197 simulated 172,1.23,0.86,5
762,Kepler-197 simulated 172,Kepler-197 simulated 172,1.22,0.86,5
763,Kepler-197 simulated 172,Kepler-197 simulated 172,0.91,0.86,5
